location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
Devanahalli,Villa,677,1,1,9,14,10,Fully-Furnished,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,8236858
Bommasandra,Penthouse,4345,4,3,2,14,15,Semi-Furnished,2,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,37867233
Thanisandra,Apartment,4016,4,5,11,12,0,Semi-Furnished,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,42983427
Electronic City Phase 2,Penthouse,1002,2,1,5,10,10,Unfurnished,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,9646586
Hebbal,Penthouse,580,1,1,9,20,10,Unfurnished,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,9853062
Whitefield,Villa,1255,2,1,1,9,5,Semi-Furnished,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,22003180
Begur,Apartment,693,1,1,0,6,5,Unfurnished,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,6181413
RT Nagar,Apartment,1159,2,1,1,9,10,Fully-Furnished,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,12896579
Yelahanka,Apartment,686,1,1,4,7,2,Unfurnished,2,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,8205318
Jakkar,Villa,1321,2,2,9,13,0,Fully-Furnished,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,19821857
Domlur,Apartment,902,2,1,3,15,5,Fully-Furnished,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,14842863
RT Nagar,Independent House,544,1,1,7,7,5,Unfurnished,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,6110146
Whitefield,Penthouse,1505,3,4,0,7,15,Semi-Furnished,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,24213679
Rajajinagar,Independent House,533,1,1,15,18,5,Fully-Furnished,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,8757391
Frazer Town,Independent House,762,1,1,1,18,10,Unfurnished,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,12111538
Sarjapur Road,Penthouse,1476,3,4,11,20,2,Semi-Furnished,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,21734203
Thanisandra,Apartment,2519,4,4,2,14,10,Unfurnished,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,26193098
Yeshwanthpur,Independent House,626,1,1,7,15,5,Unfurnished,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,6670099
Rayan Circle,Apartment,1966,3,2,7,15,10,Fully-Furnished,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,23088745
Anjanapura,Apartment,1341,2,3,10,14,0,Unfurnished,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,11038271
Kanakapura Road,Villa,2098,3,2,0,16,15,Fully-Furnished,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,29911741
Panathur,Penthouse,4142,4,4,10,13,15,Fully-Furnished,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,56197231
Hennur Road,Independent House,537,1,1,13,14,5,Fully-Furnished,2,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,7607729
Thanisandra,Apartment,583,1,1,3,18,5,Fully-Furnished,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,7429953
BTM Layout,Independent House,1375,2,3,8,11,5,Fully-Furnished,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,17253890
Hoodi,Apartment,4334,4,5,15,19,15,Unfurnished,2,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,48204975
Hoodi,Villa,1149,2,3,5,13,0,Unfurnished,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,19968408
Sarjapur Road,Apartment,558,1,1,2,5,15,Semi-Furnished,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,5389961
BTM Layout,Penthouse,530,1,1,3,10,10,Fully-Furnished,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,9301456
Jakkar,Villa,660,1,1,12,15,2,Unfurnished,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,10303421
HSR Layout,Apartment,943,2,1,10,11,0,Unfurnished,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,14072299
JP Nagar,Villa,1968,3,2,8,20,10,Semi-Furnished,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,32159429
Vijayanagar,Penthouse,1281,2,1,9,19,2,Semi-Furnished,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17238539
Vijayanagar,Villa,833,1,1,9,15,5,Semi-Furnished,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,12552960
Hoodi,Villa,3530,4,5,5,9,2,Fully-Furnished,2,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,57737873
KR Puram,Apartment,2069,3,4,9,9,0,Semi-Furnished,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21794663
Whitefield,Independent House,2077,3,2,1,3,5,Unfurnished,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,24352171
Electronic City Phase 2,Independent House,512,1,1,9,12,5,Unfurnished,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,4010034
Mahadevapura,Penthouse,738,1,1,6,12,0,Fully-Furnished,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,13131396
Outer Ring Road,Penthouse,646,1,1,9,12,15,Semi-Furnished,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,11383390
Brookefield,Penthouse,779,1,1,3,13,5,Unfurnished,2,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,14163423
RT Nagar,Penthouse,527,1,1,11,17,15,Unfurnished,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,7720846
Brookefield,Apartment,1178,2,3,6,12,15,Unfurnished,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,14879939
KR Puram,Independent House,808,1,1,13,19,10,Unfurnished,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,8201207
Chandapura,Independent House,1267,2,1,6,7,2,Fully-Furnished,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,8247137
Hennur Road,Penthouse,3612,4,5,9,12,2,Unfurnished,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,52666588
Yelahanka,Villa,3596,4,5,7,15,5,Unfurnished,2,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,51172675
Malleswaram,Independent House,704,1,1,3,7,10,Fully-Furnished,2,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,13053740
Whitefield,Penthouse,4255,4,3,9,13,2,Semi-Furnished,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,67630994
Varthur,Independent House,1950,3,2,15,17,2,Unfurnished,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,20351161
BTM Layout,Apartment,590,1,1,0,0,0,Unfurnished,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,7986290
Old Airport Road,Independent House,1629,3,4,9,11,0,Semi-Furnished,2,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,24910427
Kadugodi,Apartment,1131,2,2,7,18,15,Fully-Furnished,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,10721195
Uttarahalli,Villa,1240,2,2,1,10,15,Semi-Furnished,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,16346554
Indiranagar,Apartment,2048,3,2,5,7,15,Unfurnished,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,36134244
Uttarahalli,Villa,1085,2,1,10,14,15,Fully-Furnished,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,13772325
JP Nagar,Apartment,1898,3,2,8,10,2,Semi-Furnished,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,22678255
Bannerghatta Road,Apartment,2101,3,4,2,15,10,Semi-Furnished,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,20855390
Electronic City,Independent House,1774,3,3,6,7,15,Semi-Furnished,2,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,13832221
Electronic City Phase 1,Penthouse,802,1,1,1,20,10,Fully-Furnished,2,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,9110745
Thanisandra,Villa,4316,4,4,1,19,15,Semi-Furnished,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,64968066
Hebbal,Apartment,2673,4,5,10,11,0,Fully-Furnished,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,35260813
Yelahanka,Villa,1744,3,2,4,10,0,Unfurnished,2,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,25663058
Begur,Independent House,1165,2,3,8,18,0,Unfurnished,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,10388968
Hoodi,Villa,1189,2,2,13,15,0,Unfurnished,2,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,20431880
Koramangala,Independent House,2548,4,4,7,14,5,Semi-Furnished,2,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,45357361
Frazer Town,Penthouse,900,2,2,0,1,5,Semi-Furnished,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,19140398
Domlur,Apartment,1358,2,3,6,18,2,Unfurnished,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,20580348
Electronic City Phase 2,Villa,1228,2,1,14,14,5,Fully-Furnished,2,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,14246743
Banaswadi,Villa,984,2,1,6,8,15,Semi-Furnished,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,13525694
Sadashivanagar,Villa,1552,3,2,2,4,10,Fully-Furnished,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,50127223
Yelahanka,Villa,2584,4,3,0,5,0,Semi-Furnished,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,37275139
Chandapura,Penthouse,751,1,1,15,16,5,Semi-Furnished,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,6530489
Frazer Town,Apartment,2603,4,5,15,16,5,Fully-Furnished,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,40660484
Bannerghatta Road,Independent House,1596,3,2,14,14,2,Fully-Furnished,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,16940062
Yeshwanthpur,Villa,1302,2,2,3,11,2,Fully-Furnished,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,20340463
Hoodi,Penthouse,1878,3,4,14,16,10,Semi-Furnished,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,28863288
KR Puram,Independent House,969,2,1,13,17,5,Unfurnished,2,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,10153888
Kanakapura Road,Independent House,3621,4,4,2,11,10,Fully-Furnished,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,36037662
Hoodi,Apartment,1664,3,2,6,11,5,Semi-Furnished,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,18742833
Hosur Road,Villa,1899,3,4,5,13,0,Fully-Furnished,2,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,25651396
Outer Ring Road,Independent House,2162,3,2,6,12,0,Semi-Furnished,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,29144158
Basavanagudi,Penthouse,1179,2,2,0,5,0,Semi-Furnished,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,24855178
HSR Layout,Villa,956,2,2,12,18,10,Unfurnished,2,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,19483604
Brookefield,Villa,1885,3,3,14,16,2,Fully-Furnished,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,34763875
JP Nagar,Apartment,774,1,1,14,19,5,Semi-Furnished,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,9626862
Malleswaram,Apartment,3317,4,3,8,18,15,Semi-Furnished,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,55542615
Basavanagudi,Apartment,997,2,1,9,12,5,Fully-Furnished,2,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,16413237
KR Puram,Penthouse,3281,4,3,12,16,15,Unfurnished,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,40873918
Devanahalli,Independent House,2862,4,3,4,11,15,Unfurnished,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,22868228
Electronic City,Villa,766,1,1,5,18,5,Semi-Furnished,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,9305312
Old Airport Road,Apartment,1451,3,3,1,4,5,Semi-Furnished,2,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,21678113
Mahadevapura,Apartment,1323,2,3,11,12,2,Unfurnished,2,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,17029383
Whitefield,Independent House,3058,4,3,5,16,0,Semi-Furnished,2,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,36973408
Hebbal,Villa,4400,4,3,7,20,5,Fully-Furnished,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,78092704
CV Raman Nagar,Apartment,2064,3,3,14,15,15,Unfurnished,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,19779232
Padmanabhanagar,Villa,2114,3,3,13,16,2,Fully-Furnished,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,29869790
Koramangala,Independent House,2520,4,4,7,20,15,Semi-Furnished,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,44285728
JP Nagar,Penthouse,4009,4,5,3,17,2,Semi-Furnished,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,61500723
Rayan Circle,Penthouse,1887,3,3,0,0,15,Semi-Furnished,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,28563380
Begur,Apartment,932,2,2,5,6,0,Semi-Furnished,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,9052660
Bommasandra,Apartment,3869,4,3,15,15,2,Semi-Furnished,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,25441120
Kanakapura Road,Villa,817,1,1,3,12,5,Unfurnished,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,12068950
Kadugodi,Apartment,553,1,1,7,11,0,Semi-Furnished,2,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,6982531
Varthur,Villa,2630,4,5,8,15,0,Fully-Furnished,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,39855607
Panathur,Villa,558,1,1,5,12,0,Semi-Furnished,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,9419508
Nagarbhavi,Independent House,4180,4,5,1,4,0,Unfurnished,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,40331352
Indiranagar,Villa,1585,3,4,4,16,5,Fully-Furnished,2,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,42475183
Jakkar,Penthouse,1393,2,1,5,16,5,Semi-Furnished,2,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,18931810
RT Nagar,Penthouse,1315,2,1,3,3,2,Semi-Furnished,2,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,19833822
RT Nagar,Independent House,1398,2,3,14,20,15,Fully-Furnished,2,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,15586679
Kengeri,Penthouse,3410,4,4,13,20,2,Unfurnished,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,37303048
Devanahalli,Penthouse,992,2,3,12,18,15,Fully-Furnished,2,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,11520312
Frazer Town,Apartment,1144,2,1,1,9,5,Unfurnished,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,18000614
Devanahalli,Independent House,528,1,1,13,19,5,Unfurnished,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,4676558
Tumkur Road,Apartment,1549,3,3,0,4,15,Fully-Furnished,2,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,12466626
CV Raman Nagar,Penthouse,4087,4,4,7,11,15,Semi-Furnished,2,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,54205445
Sadashivanagar,Penthouse,562,1,1,10,12,10,Unfurnished,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,17286096
Rajajinagar,Villa,616,1,1,13,16,5,Fully-Furnished,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,13683072
Yelahanka,Independent House,1515,3,2,8,14,10,Unfurnished,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,14839475
Koramangala,Apartment,737,1,1,15,19,5,Unfurnished,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,13218329
Whitefield,Apartment,1005,2,1,7,19,2,Fully-Furnished,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,13068843
Kanakapura Road,Villa,1729,3,2,1,16,2,Semi-Furnished,2,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,25817408
Kadugodi,Villa,1285,2,1,10,11,5,Unfurnished,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,17232140
Frazer Town,Apartment,1252,2,2,4,10,10,Semi-Furnished,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19384789
Marathahalli,Apartment,830,1,1,6,14,15,Unfurnished,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,8569021
Yeshwanthpur,Apartment,1487,3,4,14,17,15,Semi-Furnished,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,16052413
Kengeri,Independent House,2893,4,3,4,5,10,Semi-Furnished,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,24045415
Bannerghatta Road,Apartment,1798,3,2,7,20,5,Fully-Furnished,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,18534686
Hoodi,Penthouse,4427,4,3,9,13,10,Semi-Furnished,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,65626446
Brookefield,Penthouse,588,1,1,12,17,15,Semi-Furnished,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,10364852
Rayan Circle,Villa,2348,4,4,4,17,2,Semi-Furnished,2,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,39631546
Indiranagar,Penthouse,844,1,1,10,15,5,Unfurnished,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,20265115
Electronic City Phase 1,Independent House,3610,4,3,1,4,5,Fully-Furnished,2,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,28004242
Rajajinagar,Apartment,588,1,1,2,18,10,Semi-Furnished,2,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,9158720
Nagarbhavi,Villa,769,1,1,6,18,0,Fully-Furnished,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,12035302
RT Nagar,Independent House,4131,4,4,10,17,0,Semi-Furnished,2,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,44385796
Old Airport Road,Villa,2149,3,3,5,12,10,Unfurnished,2,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,44426915
Electronic City Phase 1,Apartment,3689,4,3,4,20,10,Semi-Furnished,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,27936576
Yelahanka,Penthouse,1098,2,3,5,20,15,Fully-Furnished,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,14409713
JP Nagar,Independent House,693,1,1,10,20,2,Fully-Furnished,2,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,10094184
Bannerghatta Road,Villa,646,1,1,11,20,5,Semi-Furnished,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,9463910
Magadi Road,Penthouse,1343,2,3,8,17,2,Fully-Furnished,2,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,15638471
Domlur,Villa,576,1,1,10,16,0,Unfurnished,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,12828214
Hosur Road,Independent House,1643,3,3,11,11,10,Fully-Furnished,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,15174897
Varthur,Apartment,1091,2,2,8,8,10,Semi-Furnished,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10683879
Rayan Circle,Independent House,569,1,1,6,15,15,Fully-Furnished,2,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,7290982
Electronic City Phase 1,Apartment,1940,3,2,4,6,0,Semi-Furnished,2,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,15894734
Electronic City,Apartment,722,1,1,11,15,2,Fully-Furnished,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,6531442
Kanakapura Road,Independent House,1231,2,3,15,16,10,Semi-Furnished,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,12790826
Electronic City,Villa,2040,3,4,0,3,2,Unfurnished,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,22883328
Hosur Road,Independent House,647,1,1,4,8,15,Fully-Furnished,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,6174344
Chandapura,Villa,830,1,1,0,13,0,Semi-Furnished,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,8244630
JP Nagar,Apartment,2007,3,2,7,11,5,Unfurnished,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,22586765
Panathur,Villa,775,1,1,6,10,5,Unfurnished,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,12266936
Mahadevapura,Villa,1550,3,4,2,7,15,Unfurnished,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,25697880
Anjanapura,Villa,1838,3,2,9,16,15,Fully-Furnished,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,19584185
Outer Ring Road,Apartment,614,1,1,13,19,5,Semi-Furnished,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,9165958
Brookefield,Penthouse,2083,3,2,8,14,10,Unfurnished,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,35394775
Devanahalli,Villa,674,1,1,12,15,2,Semi-Furnished,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,8597907
Kadugodi,Independent House,3060,4,5,5,15,0,Semi-Furnished,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,30062948
Thanisandra,Penthouse,3671,4,5,1,12,2,Semi-Furnished,2,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,53118880
Vijayanagar,Villa,3130,4,4,9,15,0,Unfurnished,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,44903943
Hennur Road,Penthouse,1154,2,3,1,13,0,Semi-Furnished,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,18156721
Koramangala,Independent House,1261,2,2,3,7,2,Semi-Furnished,2,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,23510188
Padmanabhanagar,Villa,2369,4,5,2,19,2,Unfurnished,2,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,33039698
BTM Layout,Independent House,3791,4,3,12,18,2,Semi-Furnished,2,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,44322980
Frazer Town,Penthouse,3642,4,5,3,9,0,Semi-Furnished,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,75664242
KR Puram,Independent House,4177,4,3,6,14,15,Fully-Furnished,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,39278759
Kengeri,Villa,3945,4,5,5,14,5,Fully-Furnished,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,46860011
Bellandur,Independent House,1908,3,3,7,13,15,Fully-Furnished,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,25493889
Outer Ring Road,Villa,1355,2,1,11,18,0,Unfurnished,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,26077811
Devanahalli,Villa,2048,3,2,3,4,10,Semi-Furnished,2,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,23559229
Hennur Road,Apartment,1867,3,4,13,16,2,Semi-Furnished,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,20784802
Sarjapur Road,Apartment,606,1,1,13,13,2,Semi-Furnished,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,6808251
Electronic City,Apartment,1912,3,2,12,19,15,Semi-Furnished,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,14627261
JP Nagar,Penthouse,3699,4,4,13,17,2,Fully-Furnished,2,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,57401255
Jayanagar,Villa,1331,2,3,1,12,5,Fully-Furnished,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,31489343
Electronic City Phase 1,Villa,1110,2,2,1,19,15,Unfurnished,2,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,12353498
Electronic City Phase 2,Penthouse,799,1,1,11,15,5,Semi-Furnished,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,8123109
RT Nagar,Penthouse,3445,4,5,8,20,10,Unfurnished,2,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,49080650
Hennur Road,Independent House,2149,3,3,6,20,0,Unfurnished,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,24197806
Begur,Independent House,2075,3,3,13,14,5,Semi-Furnished,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,17779488
Hebbal,Penthouse,760,1,1,5,11,2,Fully-Furnished,2,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,14102320
Hosur Road,Penthouse,4109,4,3,11,12,0,Semi-Furnished,2,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,48682808
Whitefield,Independent House,2180,3,4,8,8,2,Semi-Furnished,2,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,27513349
HSR Layout,Penthouse,4432,4,4,10,16,10,Semi-Furnished,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,81833591
KR Puram,Apartment,530,1,1,9,13,5,Fully-Furnished,2,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,6681489
Thanisandra,Apartment,918,2,1,10,12,15,Semi-Furnished,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,9438365
Jakkar,Penthouse,1033,2,3,4,5,10,Semi-Furnished,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,14356265
JP Nagar,Independent House,1919,3,4,14,18,5,Fully-Furnished,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,22616879
Outer Ring Road,Independent House,2577,4,5,8,8,15,Fully-Furnished,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,34589354
Brookefield,Penthouse,2004,3,4,1,2,2,Semi-Furnished,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,34408163
Outer Ring Road,Apartment,1468,3,3,0,2,2,Semi-Furnished,2,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,20487244
